NIFTY AUTO,NIFTY BANK,NIFTY CHEMICALS,NIFTY FINANCIAL SERVICES,NIFTY FINANCIAL SERVICES 25/50,NIFTY FMCG,NIFTY HEALTHCARE,NIFTY IT,NIFTY MEDIA,NIFTY METAL,NIFTY PHARMA,NIFTY PRIVATE BANK,NIFTY PSU BANK,NIFTY REALTY,NIFTY CONSUMER DURABLES,NIFTY OIL AND GAS,NIFTY500 HEALTHCARE,NIFTY MIDSMALL FINANCIAL SERVICES,NIFTY MIDSMALL HEALTHCARE,NIFTY MIDSMALL IT & TELECOM,Nifty Capital Markets,Nifty Commodities,Nifty Core Housing,Nifty CPSE,Nifty EV & New Age Automotive,Nifty Energy,Nifty Housing,Nifty India Consumption,Nifty India Defence,Nifty India Digital,Nifty India Infrastructure & Logistics,Nifty India Internet,Nifty India Manufacturing,Nifty India Tourism,Nifty Infrastructure,Nifty MNC,Nifty Mobility,Nifty PSE,Nifty Rural,Nifty Services Sector,Nifty Transportation & Logistics,OTHERS
MARUTI,ICICIBANK,UPL,ICICIBANK,ICICIBANK,ITC,SUNPHARMA,INFY,,VEDL,SUNPHARMA,ICICIBANK,SBIN,DLF,DIXON,RELIANCE,SUNPHARMA,MCX,LAURUSLABS,IDEA,MCX,RELIANCE,DIXON,BEL,RELIANCE,RELIANCE,ICICIBANK,BHARTIARTL,BEL,INFY,BHARTIARTL,ETERNAL,RELIANCE,INDIGO,RELIANCE,VEDL,RELIANCE,BEL,SBIN,ICICIBANK,ETERNAL,NIFTY
M&M,HDFCBANK,SOLARINDS,HDFCBANK,HDFCBANK,HINDUNILVR,LAURUSLABS,TCS,,HINDZINC,LAURUSLABS,HDFCBANK,CANBK,GODREJPROP,TITAN,ONGC,LAURUSLABS,BSE,GLENMARK,INDUSTOWER,BSE,VEDL,DLF,COALINDIA,MARUTI,BHEL,HDFCBANK,ETERNAL,HAL,BHARTIARTL,IDEA,PAYTM,VEDL,INDHOTEL,BHARTIARTL,MARUTI,ETERNAL,HAL,BHARTIARTL,HDFCBANK,MARUTI,BANKNIFTY
TMPV,SBIN,SRF,SBIN,SBIN,VBL,GLENMARK,HCLTECH,,HINDALCO,GLENMARK,AXISBANK,BANKBARODA,LODHA,VOLTAS,HINDPETRO,GLENMARK,INDUSINDBK,AUROPHARMA,COFORGE,CDSL,HINDALCO,ASIANPAINT,ONGC,M&M,COALINDIA,SBIN,MARUTI,BDL,IDEA,BEL,ANGELONE,HINDZINC,GMRAIRPORT,LT,ASHOKLEY,MARUTI,BHEL,IDEA,SBIN,M&M,MIDCPNIFTY
ASHOKLEY,AXISBANK,PIDILITIND,AXISBANK,AXISBANK,NESTLEIND,APOLLOHOSP,TECHM,,TATASTEEL,AUROPHARMA,KOTAKBANK,PNB,OBEROIRLTY,KALYANKJIL,BPCL,APOLLOHOSP,PAYTM,BIOCON,PERSISTENT,ANGELONE,TATASTEEL,POLYCAB,NTPC,TMPV,ONGC,AXISBANK,ITC,BHARATFORG,TCS,LT,POLICYBZR,MARUTI,JUBLFOOD,INDIGO,HINDUNILVR,M&M,RECLTD,BAJFINANCE,INFY,INDIGO,WAAREEENER
BAJAJ-AUTO,KOTAKBANK,PIIND,KOTAKBANK,KOTAKBANK,PATANJALI,AUROPHARMA,WIPRO,,NATIONALUM,BIOCON,INDUSINDBK,UNIONBANK,PRESTIGE,HAVELLS,GAIL,AUROPHARMA,IDFCFIRSTB,LUPIN,MPHASIS,HDFCAMC,JSWSTEEL,ULTRACEMCO,POWERGRID,ASHOKLEY,NTPC,KOTAKBANK,M&M,SOLARINDS,ETERNAL,HAL,SWIGGY,BEL,IRCTC,ASHOKLEY,CUMMINSIND,INDIGO,PFC,MARUTI,AXISBANK,TMPV,IIFL
HEROMOTOCO,CANBK,,BSE,BSE,TATACONSUM,BIOCON,COFORGE,,ADANIENT,DRREDDY,IDFCFIRSTB,INDIANB,PHOENIXLTD,AMBER,IOC,BIOCON,FEDERALBNK,FORTIS,TATAELXSI,IEX,UPL,GRASIM,NBCC,BAJAJ-AUTO,ADANIGREEN,LT,DIXON,MAZDOCK,PAYTM,INDIGO,IRCTC,M&M,,DLF,AMBUJACEM,TMPV,COALINDIA,ITC,BHARTIARTL,ASHOKLEY,IREDA
EICHERMOT,BANKBARODA,,BAJFINANCE,BAJFINANCE,MARICO,DRREDDY,PERSISTENT,,JSWSTEEL,LUPIN,FEDERALBNK,BANKINDIA,,PGEL,OIL,DRREDDY,MUTHOOTFIN,MANKIND,OFSS,KFINTECH,COALINDIA,GODREJPROP,OIL,HEROMOTOCO,HINDPETRO,DIXON,INDIGO,,HCLTECH,ASHOKLEY,NYKAA,HINDALCO,,ADANIPORTS,NESTLEIND,ASHOKLEY,NMDC,M&M,KOTAKBANK,BAJAJ-AUTO,SAMMAANCAP
TVSMOTOR,INDUSINDBK,,SHRIRAMFIN,SHRIRAMFIN,COLPAL,MAXHEALTH,LTIM,,NMDC,DIVISLAB,RBLBANK,,,CROMPTON,PETRONET,MAXHEALTH,AUBANK,PPLPHARMA,KPITTECH,CAMS,ULTRACEMCO,AMBUJACEM,NHPC,EICHERMOT,POWERGRID,TATASTEEL,BAJAJ-AUTO,,TECHM,BHEL,NAUKRI,DIXON,,INDUSTOWER,ABB,BAJAJ-AUTO,ONGC,DIXON,BSE,HEROMOTOCO,PREMIERENE
MOTHERSON,PNB,,JIOFIN,JIOFIN,BRITANNIA,LUPIN,MPHASIS,,JINDALSTEL,CIPLA,YESBANK,,,BLUESTARCO,,LUPIN,ABCAPITAL,SYNGENE,CYIENT,360ONE,NMDC,VOLTAS,,TVSMOTOR,TATAPOWER,CANBK,HEROMOTOCO,,WIPRO,DLF,,TATASTEEL,,ULTRACEMCO,POWERINDIA,HEROMOTOCO,NTPC,SHRIRAMFIN,TCS,ADANIPORTS,BAJAJHLDNG
BHARATFORG,IDFCFIRSTB,,RECLTD,RECLTD,UNITDSPR,DIVISLAB,OFSS,,SAIL,ZYDUSLIFE,BANDHANBNK,,,,,DIVISLAB,LTF,ALKEM,TATATECH,NUVAMA,ONGC,HAVELLS,,MOTHERSON,BPCL,BANKBARODA,HINDUNILVR,,COFORGE,ADANIPORTS,,HAL,,ONGC,COLPAL,ADANIPORTS,HINDPETRO,BANKBARODA,BAJFINANCE,EICHERMOT,FINNIFTY
EXIDEIND,FEDERALBNK,,CHOLAFIN,CHOLAFIN,DABUR,CIPLA,,,APLAPOLLO,TORNTPHARM,,,,,,CIPLA,RBLBANK,,HFCL,,NTPC,AMBER,,BHARATFORG,GAIL,INDUSINDBK,DLF,,PERSISTENT,INDUSTOWER,,JSWSTEEL,,NTPC,BRITANNIA,EICHERMOT,RVNL,PNB,ETERNAL,TVSMOTOR,NIFTYNXT50
BOSCHLTD,AUBANK,,MUTHOOTFIN,MUTHOOTFIN,GODREJCP,FORTIS,,,,MANKIND,,,,,,FORTIS,YESBANK,,,,ADANIGREEN,LODHA,,CGPOWER,IOC,PNB,TITAN,,POLICYBZR,ULTRACEMCO,,TMPV,,ADANIGREEN,UNITDSPR,TVSMOTOR,POWERGRID,TMPV,SHRIRAMFIN,MOTHERSON,
UNOMINDA,YESBANK,,PFC,PFC,,ZYDUSLIFE,,,,PPLPHARMA,,,,,,ZYDUSLIFE,UNIONBANK,,,,HINDPETRO,LICHSGFIN,,TATAELXSI,ABB,JSWSTEEL,ASIANPAINT,,LTIM,NTPC,,ASHOKLEY,,HINDPETRO,OFSS,HINDPETRO,BPCL,ASHOKLEY,INDIGO,GMRAIRPORT,
TIINDIA,UNIONBANK,,HDFCLIFE,HDFCLIFE,,TORNTPHARM,,,,ALKEM,,,,,,TORNTPHARM,CDSL,,,,GRASIM,PGEL,,EXIDEIND,CGPOWER,DLF,EICHERMOT,,MPHASIS,ADANIGREEN,,BAJAJ-AUTO,,GRASIM,SIEMENS,MOTHERSON,GAIL,BAJAJ-AUTO,INDUSINDBK,BHARATFORG,
SONACOMS,,,BAJAJFINSV,BAJAJFINSV,,MANKIND,,,,,,,,,,MANKIND,ANGELONE,,,,JINDALSTEL,PNBHOUSING,,KPITTECH,SUZLON,IDFCFIRSTB,TRENT,,SWIGGY,GRASIM,,BHEL,,APOLLOHOSP,BOSCHLTD,BPCL,IOC,HEROMOTOCO,JIOFIN,MAZDOCK,
,,,SBILIFE,SBILIFE,,PPLPHARMA,,,,,,,,,,PPLPHARMA,MANAPPURAM,,,,AMBUJACEM,OBEROIRLTY,,KEI,ADANIENSOL,FEDERALBNK,TVSMOTOR,,IRCTC,RVNL,,EICHERMOT,,GODREJPROP,,GMRAIRPORT,CONCOR,HINDUNILVR,ADANIPORTS,CONCOR,
,,,SBICARD,SBICARD,,SYNGENE,,,,,,,,,,SYNGENE,POLICYBZR,,,,TATAPOWER,CROMPTON,,BOSCHLTD,JSWENERGY,ASIANPAINT,VBL,,NYKAA,GODREJPROP,,UPL,,CUMMINSIND,,GAIL,IRCTC,ASIANPAINT,HCLTECH,SWIGGY,
,,,LICHSGFIN,LICHSGFIN,,ALKEM,,,,,,,,,,ALKEM,HDFCAMC,,,,BPCL,PRESTIGE,,TATATECH,POWERINDIA,POLYCAB,APOLLOHOSP,,TATAELXSI,CUMMINSIND,,POLYCAB,,POWERGRID,,BHARATFORG,IRFC,EICHERMOT,TECHM,DELHIVERY,
,,,ICICIPRULI,ICICIPRULI,,,,,,,,,,,,,SBICARD,,,,IOC,KEI,,UNOMINDA,SIEMENS,ULTRACEMCO,INDHOTEL,,OFSS,POWERGRID,,SUNPHARMA,,MOTHERSON,,IOC,OIL,UPL,WIPRO,IRCTC,
,,,ICICIGI,ICICIGI,,,,,,,,,,,,,INDIANB,,,,ADANIENSOL,DALBHARAT,,TIINDIA,OIL,NTPC,TATAPOWER,,NAUKRI,AMBUJACEM,,TVSMOTOR,,INDHOTEL,,CONCOR,NHPC,CHOLAFIN,NTPC,EXIDEIND,
,,,,,,,,,,,,,,,,,BANKINDIA,,,,SRF,SHREECEM,,SONACOMS,PETRONET,ADANIGREEN,MAXHEALTH,,KPITTECH,TATAPOWER,,KAYNES,,AMBUJACEM,,SWIGGY,,MUTHOOTFIN,APOLLOHOSP,BOSCHLTD,
,,,,,,,,,,,,,,,,,IEX,,,,APLAPOLLO,BLUESTARCO,,,INOXWIND,YESBANK,NESTLEIND,,CYIENT,GMRAIRPORT,,CUMMINSIND,,TATAPOWER,,IRCTC,,ULTRACEMCO,HDFCLIFE,UNOMINDA,
,,,,,,,,,,,,,,,,,BANDHANBNK,,,,JSWENERGY,PHOENIXLTD,,,NHPC,UNIONBANK,DMART,,TATATECH,BDL,,AUROPHARMA,,BPCL,,PETRONET,,TVSMOTOR,BAJAJFINSV,TIINDIA,
,,,,,,,,,,,,,,,,,HUDCO,,,,OIL,,,,TORNTPOWER,GRASIM,TATACONSUM,,,GAIL,,JINDALSTEL,,MAXHEALTH,,BOSCHLTD,,NTPC,POWERGRID,SONACOMS,
,,,,,,,,,,,,,,,,,LICHSGFIN,,,,PIDILITIND,,,,,RVNL,HAVELLS,,,ABB,,MOTHERSON,,GAIL,,TIINDIA,,ADANIGREEN,SBILIFE,,
,,,,,,,,,,,,,,,,,PNBHOUSING,,,,PIIND,,,,,GODREJPROP,BRITANNIA,,,MAZDOCK,,BPCL,,BHARATFORG,,SONACOMS,,GRASIM,TATAPOWER,,
,,,,,,,,,,,,,,,,,CAMS,,,,SHREECEM,,,,,JINDALSTEL,UNITDSPR,,,CGPOWER,,DRREDDY,,IOC,,,,HDFCLIFE,MAXHEALTH,,
,,,,,,,,,,,,,,,,,MFSL,,,,NHPC,,,,,SAIL,GODREJCP,,,CONCOR,,LUPIN,,CGPOWER,,,,CUMMINSIND,GAIL,,
,,,,,,,,,,,,,,,,,ICICIPRULI,,,,TORNTPOWER,,,,,AMBUJACEM,NAUKRI,,,SUZLON,,VOLTAS,,SUZLON,,,,AMBUJACEM,DMART,,
,,,,,,,,,,,,,,,,,360ONE,,,,,,,,,TATAPOWER,,,,DELHIVERY,,BHARATFORG,,SHREECEM,,,,SBILIFE,NAUKRI,,
,,,,,,,,,,,,,,,,,,,,,,,,,,VOLTAS,,,,ADANIENSOL,,IOC,,,,,,TATAPOWER,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ADANIENSOL,,,,JSWENERGY,,ABB,,,,,,VOLTAS,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JSWENERGY,,,,POWERINDIA,,DIVISLAB,,,,,,NESTLEIND,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,HAVELLS,,,,LODHA,,SOLARINDS,,,,,,SBICARD,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,LODHA,,,,NBCC,,MAZDOCK,,,,,,INDIANB,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,LICHSGFIN,,,,SIEMENS,,CIPLA,,,,,,BANKINDIA,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,OBEROIRLTY,,,,OBEROIRLTY,,CGPOWER,,,,,,PATANJALI,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,CROMPTON,,,,PRESTIGE,,SUZLON,,,,,,TATACONSUM,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,PRESTIGE,,,,PETRONET,,SRF,,,,,,MARICO,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,KEI,,,,INOXWIND,,APLAPOLLO,,,,,,ASTRAL,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,PETRONET,,,,DALBHARAT,,ASTRAL,,,,,,IRCTC,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,SHREECEM,,,,SHREECEM,,HAVELLS,,,,,,JSWENERGY,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,BLUESTARCO,,,,HFCL,,SIEMENS,,,,,,HAVELLS,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,NHPC,,,,TITAGARH,,PAGEIND,,,,,,COLPAL,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,TORNTPOWER,,,,NHPC,,CROMPTON,,,,,,BRITANNIA,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,PHOENIXLTD,,,,TORNTPOWER,,KEI,,,,,,BANDHANBNK,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHOENIXLTD,,PIDILITIND,,,,,,LICHSGFIN,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NCC,,SUPREMEIND,,,,,,PNBHOUSING,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSCHLTD,,,,,,DABUR,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZYDUSLIFE,,,,,,GODREJCP,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIIND,,,,,,LICI,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TORNTPHARM,,,,,,CROMPTON,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNOMINDA,,,,,,MFSL,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIINDIA,,,,,,SUPREMEIND,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SONACOMS,,,,,,ICICIPRULI,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANKIND,,,,,,DALBHARAT,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLUESTARCO,,,,,,PIIND,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALKEM,,,,,,SHREECEM,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLUESTARCO,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHPC,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TORNTPOWER,,,
